Series Name,Series Code,Country Name,Country Code,2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,India,IND,7.86038147553259,7.92293661286503,7.92343062149763,8.06073257303272,7.66081506504928,3.08669805953289,7.86188883303498,8.49758470158106,5.24131500140663,5.45638875297365,6.38610640094825,7.41022760508854,7.99625378571471,8.25630550179086,6.79538341897911,6.45385134497769,3.87143694070356,-5.83105322031207,9.05027790774051,7.00295154446648
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,China,CHN,10.038030481108,10.1136213780461,11.3945918097286,12.7209556651735,14.2308609330803,9.65067891955702,9.39872563237978,10.6358710646812,9.55083217886229,7.86373644866194,7.766150097539,7.42576365645755,7.04132887865481,6.84876220503246,6.94720079327288,6.74977383247717,5.95050075376979,2.23863835629443,8.44747829343031,2.9908045977096
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Russian Federation,RUS,7.29995234453868,7.19994786994475,6.39996544785382,8.200068255056,8.49997776846357,5.19996926498843,-7.79999391343111,4.50000000003065,4.3000291857941,4.02408615720979,1.75542214909368,0.736267221415574,-1.97271922637542,0.193690071729534,1.82579006355112,2.80724541049418,2.19807571380863,-2.65365450092145,5.61429037578345,-2.06971152527731
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Brazil,BRA,1.14082899824888,5.75996463670954,3.20213206130431,3.96198871122617,6.06987060678338,5.09419544658736,-0.125812002161169,7.52822581815364,3.97442307944702,1.92117598576537,3.00482266944432,0.503955740242247,-3.54576339269425,-3.27591690782192,1.32286905404399,1.783666761634,1.22077782360842,-3.2767587964736,4.98884970066018,2.90053061522693
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,World,WLD,3.1112933872447,4.47156106951971,4.00488820280232,4.42171690200392,4.38149556400229,2.07026493319722,-1.34164620915107,4.5403329479701,3.32009325975173,2.71019097018707,2.8092459780017,3.07353130095234,3.08293692967392,2.80863096121753,3.38986540537709,3.28804978128619,2.59455008252216,-3.07222549347183,6.02381276408917,3.08032177798054
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 07/25/2023,,,,,,,,,,,,,,,,,,,,,,,
